Age,Income,Browsing_Hours,Gender,Device,Most_Searched_Item,Purchase
56,63214,6.645924766266066,Female,Mobile,Clothing,1
69,96130,8.761361485273756,Female,Mobile,Books,1
46,75486,7.871022282697252,Female,Mobile,Clothing,1
32,44887,6.48589156982641,Female,Mobile,Clothing,0
60,68423,9.831464374771675,Female,Desktop,Clothing,1
25,69142,7.013928045170094,Male,Tablet,Electronics,1
38,61412,9.767078928253731,Male,Desktop,Home Decor,1
56,85539,1.0451905087673619,Male,Tablet,Books,0
36,43668,1.8201235220510183,Male,Mobile,Books,1
40,41710,4.78885903700466,Male,Desktop,Electronics,0
28,39458,4.156354878400993,Female,Mobile,Clothing,1
28,46139,7.935980992891763,Female,Mobile,Home Decor,1
41,45036,2.0258332514574358,Male,Desktop,Electronics,0
53,72852,9.772904201559141,Male,Mobile,Home Decor,1
57,51672,3.4931258149786832,Female,Mobile,Clothing,1
41,44199,4.574775223531515,Female,Desktop,Home Decor,1
20,50063,3.1100778081802174,Male,Mobile,Toys,1
39,68056,6.003954364602199,Male,Mobile,Books,1
19,33121,1.0569726540145474,Female,Mobile,Clothing,0
41,45733,1.9219363029192635,Female,Desktop,Home Decor,0
61,65588,7.58507818247788,Male,Mobile,Electronics,1
47,61400,2.271755542345637,Female,Mobile,Health & Beauty,1
55,84667,2.737387289788297,Female,Mobile,Health & Beauty,1
19,52923,8.033331239385959,Male,Desktop,Toys,1
38,50552,1.3863611943939091,Female,Desktop,Clothing,0
50,52697,4.656001316322989,Male,Mobile,Home Decor,1
29,53017,0.7191021764736564,Female,Mobile,Health & Beauty,0
39,46646,3.7946702935200864,Male,Mobile,Books,1
61,73226,7.140323324802168,Female,Mobile,Health & Beauty,1
42,81879,1.355981157313669,Female,Mobile,Health & Beauty,1
66,98406,8.939178954398221,Male,Mobile,Electronics,1
44,66369,9.140240907936802,Male,Desktop,Books,1
59,59921,1.4974085636887833,Female,Desktop,Books,0
45,68170,9.911958145569878,Male,Mobile,Home Decor,1
33,68939,3.326530757257145,Male,Mobile,Home Decor,0
32,46365,1.2989658757502576,Female,Mobile,Home Decor,0
64,104266,0.5481375877239916,Female,Mobile,Health & Beauty,1
68,107391,4.380967509756695,Female,Mobile,Clothing,1
61,105955,6.483194864208118,Male,Mobile,Home Decor,1
69,93578,3.655702874081476,Female,Mobile,Health & Beauty,1
20,48810,8.448814972008915,Female,Mobile,Health & Beauty,1
54,95212,7.307759617867975,Male,Desktop,Books,1
68,94710,3.8265345536963107,Male,Mobile,Home Decor,1
24,36481,7.475941832781744,Male,Mobile,Sports Equipment,1
38,51271,9.434633501207873,Female,Mobile,Health & Beauty,1
26,49578,1.3844119861586623,Male,Desktop,Home Decor,1
56,56641,3.40798762149736,Female,Mobile,Books,0
35,52851,4.901596421608586,Female,Mobile,Clothing,0
21,57448,5.230906213670302,Female,Desktop,Books,1
42,29131,5.650858626417699,Female,Desktop,Health & Beauty,0
31,74017,3.355955612117161,Male,Desktop,Electronics,1
67,103835,6.838966636832317,Male,Mobile,Home Decor,1
26,39103,6.628302783533382,Male,Desktop,Electronics,1
43,71150,5.989304309580332,Male,Desktop,Home Decor,1
19,39047,1.5807363562533279,Female,Desktop,Health & Beauty,0
37,75449,5.031194965411473,Male,Mobile,Books,1
45,79740,3.8841554311490682,Female,Mobile,Home Decor,0
64,62998,5.1648654634621645,Male,Desktop,Electronics,1
24,52808,9.257731137392748,Male,Tablet,Toys,1
61,77915,5.065047760004878,Female,Desktop,Health & Beauty,1
25,46242,0.6328175224753625,Female,Desktop,Home Decor,1
64,73077,4.668949011799244,Female,Mobile,Health & Beauty,1
